day,policy,saturation,memory,backlog_start,arrivals,closed,backlog,missed,gross,liability,recovered,legitimate_margin,authentication_cost,operating_cost,value,service_work,capacity,scenario
46,fixed_0.5,0.50000000,0.49231254,1383,115,169,1329,3,43501.53859520,35236.24626211,25551.83883770,5028.21428571,385.71428571,164.57142857,-5206.47885298,182.00000000,182.85714286,Base
47,fixed_0.5,0.50000000,0.49288910,1329,120,167,1282,0,47304.02455686,38316.25989106,23275.02584324,5028.21428571,385.71428571,164.57142857,-10563.30547639,182.25000000,182.85714286,Base
48,fixed_0.5,0.50000000,0.49342242,1282,131,169,1244,5,58311.19024088,47232.06409511,22921.89539806,5028.21428571,385.71428571,164.57142857,-19832.24012563,182.75000000,182.85714286,Base
49,fixed_0.5,0.50000000,0.49391574,1244,134,167,1211,2,54878.40813587,44451.51059005,23103.39098586,5028.21428571,385.71428571,164.57142857,-16870.19103277,182.50000000,182.85714286,Base
50,fixed_0.5,0.50000000,0.49437206,1211,119,167,1163,1,43025.50759596,34850.66115272,23430.09299926,5028.21428571,385.71428571,164.57142857,-6942.63958204,182.00000000,182.85714286,Base
51,fixed_0.5,0.50000000,0.49479415,1163,112,168,1107,1,43624.00834875,35335.44676249,23957.07270617,5028.21428571,385.71428571,164.57142857,-6900.44548489,182.00000000,182.85714286,Base
52,fixed_0.5,0.50000000,0.49518459,1107,123,171,1059,4,46260.27035793,37470.81898993,25036.99424791,5028.21428571,385.71428571,164.57142857,-7955.89617059,182.75000000,182.85714286,Base
53,fixed_0.5,0.50000000,0.49554575,1059,132,168,1023,3,49241.65877284,39885.74360600,20514.27019904,5028.21428571,385.71428571,164.57142857,-14893.54483554,182.25000000,182.85714286,Base
54,fixed_0.5,0.50000000,0.49587982,1023,138,170,991,3,49811.10239924,40346.99294338,27321.07194186,5028.21428571,385.71428571,164.57142857,-8547.99243009,182.25000000,182.85714286,Base
55,fixed_0.5,0.50000000,0.49618883,991,139,167,963,3,55506.39403167,44960.17916565,21356.35068659,5028.21428571,385.71428571,164.57142857,-19125.89990763,182.75000000,182.85714286,Base
