block,week,week_in_block,channel,saturation,assignment_probability,prior_memory,memory,displaced_out,displaced_in,attack_attempts,indexed_loss
2,8,1,0,0.80000000,0.33333333,0.71067560,0.73747292,368.73645895,218.98905895,850.25260000,416.11164140
2,8,1,1,0.50000000,0.33333333,0.30947119,0.36662984,183.31491790,256.07336716,1072.75844926,720.91081861
2,8,1,2,0.80000000,0.33333333,0.53744119,0.61620884,308.10441790,231.11546716,923.01104926,532.81887247
2,8,1,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,272.73635074,1172.73635074,987.36545073
2,8,1,4,0.20000000,0.33333333,0.42797000,0.35957900,179.78950000,256.77845074,1076.98895074,939.91297226
2,8,1,5,0.50000000,0.33333333,0.71067560,0.64747292,323.73645895,227.98905895,904.25260000,562.11916393
2,9,2,0,0.80000000,0.33333333,0.71067560,0.75623104,378.11552127,219.29234127,841.17682000,440.73905516
2,9,2,1,0.50000000,0.33333333,0.30947119,0.40664089,203.32044253,254.25135701,1050.93091448,566.65508796
2,9,2,2,0.80000000,0.33333333,0.53744119,0.67134619,335.67309253,227.78082701,892.10773448,412.11092493
2,9,2,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,274.91544552,1174.91544552,839.57697459
2,9,2,4,0.20000000,0.33333333,0.42797000,0.31170530,155.85265000,263.74491552,1107.89226552,819.25540098
2,9,2,5,0.50000000,0.33333333,0.71067560,0.60323104,301.61552127,234.59234127,932.97682000,634.96002163
2,10,3,0,0.80000000,0.33333333,0.71067560,0.76936173,384.68086489,219.50463889,834.82377400,364.44409886
2,10,3,1,0.50000000,0.33333333,0.30947119,0.43464862,217.32430977,252.97594991,1035.65164014,769.44606485
2,10,3,2,0.80000000,0.33333333,0.53744119,0.70994233,354.97116477,225.44657891,870.47541414,392.35520021
2,10,3,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,276.44081186,1176.44081186,1227.12408836
2,10,3,4,0.20000000,0.33333333,0.42797000,0.27819371,139.09685500,268.62144086,1129.52458586,1060.08521282
2,10,3,5,0.50000000,0.33333333,0.71067560,0.57226173,286.13086489,239.21463889,953.08377400,686.09474113
2,11,4,0,0.80000000,0.33333333,0.71067560,0.77855321,389.27660542,219.65324722,830.37664180,485.59035382
2,11,4,1,0.50000000,0.33333333,0.30947119,0.45425403,227.12701684,252.08316494,1024.95614810,653.36413621
2,11,4,2,0.80000000,0.33333333,0.53744119,0.73695963,368.47981534,223.81260524,855.33278990,471.79299860
2,11,4,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,277.50856830,1177.50856830,1149.00693071
2,11,4,4,0.20000000,0.33333333,0.42797000,0.25473560,127.36779850,272.03500860,1144.66721010,1069.78076973
2,11,4,5,0.50000000,0.33333333,0.71067560,0.55058321,275.29160542,242.45024722,967.15864180,649.67348761
3,12,1,0,0.20000000,0.33333333,0.77855321,0.60498725,302.49362379,237.75727305,935.26364926,806.46580859
3,12,1,1,0.50000000,0.33333333,0.45425403,0.46797782,233.98891179,251.45821546,1017.46930367,714.80215434
3,12,1,2,0.80000000,0.33333333,0.73695963,0.75587174,377.93587074,222.66882367,844.73295293,409.95162867
3,12,1,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,278.25599781,1178.25599781,1007.33363796
3,12,1,4,0.50000000,0.33333333,0.25473560,0.32831492,164.15745895,265.42450602,1101.26704707,880.57539562
3,12,1,5,0.80000000,0.33333333,0.55058321,0.62540825,312.70412379,235.71517305,923.01104926,475.09654506
3,13,2,0,0.20000000,0.33333333,0.77855321,0.48349107,241.74553666,250.43009114,1008.68455448,952.50235553
3,13,2,1,0.50000000,0.33333333,0.45425403,0.47758448,238.79223825,251.02075082,1012.22851257,716.98669968
3,13,2,2,0.80000000,0.33333333,0.73695963,0.76911022,384.55510952,221.86817657,837.31306705,453.71471877
3,13,2,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,278.77919847,1178.77919847,878.86817873
3,13,2,4,0.50000000,0.33333333,0.25473560,0.37982044,189.91022127,260.79715422,1070.88693295,761.47671809
3,13,2,5,0.80000000,0.33333333,0.55058321,0.67778577,338.89288666,231.00062114,892.10773448,542.57950689
3,14,3,0,0.20000000,0.33333333,0.77855321,0.39844375,199.22187566,259.30106380,1060.07918814,1178.97528377
3,14,3,1,0.50000000,0.33333333,0.45425403,0.48430913,242.15456678,250.71452557,1008.55995880,647.20129738
3,14,3,2,0.80000000,0.33333333,0.73695963,0.77837715,389.18857666,221.30772360,832.11914693,432.35149881
3,14,3,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,279.14543893,1179.14543893,1028.01162376
3,14,3,4,0.50000000,0.33333333,0.25473560,0.41587431,207.93715489,257.55800795,1049.62085307,721.54926276
3,14,3,5,0.80000000,0.33333333,0.55058321,0.71445004,357.22502066,227.70043480,870.47541414,393.21912623
3,15,4,0,0.20000000,0.33333333,0.77855321,0.33891063,169.45531296,265.51074466,1096.05543170,995.88861776
3,15,4,1,0.50000000,0.33333333,0.45425403,0.48901639,244.50819674,250.50016790,1005.99197116,686.87488344
